Rules	 Support 	 Confidence 	 Lift
['Instant food products'] -> ['bottled water']	0.0010167768174885613	0.12658227848101267	1.1452959603134862
['Instant food products'] -> ['butter']	0.0012201321809862736	0.1518987341772152	2.741145047032865
['Instant food products'] -> ['citrus fruit']	0.0011184544992374173	0.13924050632911392	1.6823469038658911
['Instant food products'] -> ['curd']	0.0013218098627351296	0.16455696202531647	3.0885834380133352
['Instant food products'] -> ['domestic eggs']	0.0010167768174885613	0.12658227848101267	1.9950908795845503
['Instant food products'] -> ['frankfurter']	0.0010167768174885613	0.12658227848101267	2.1464426014840683
['Instant food products'] -> ['hamburger meat']	0.003050330452465684	0.379746835443038	11.42143769597027
['Instant food products'] -> ['newspapers']	0.0011184544992374173	0.13924050632911392	1.7444972990405545
['Instant food products'] -> ['other vegetables']	0.0027452974072191155	0.3417721518987342	1.766331641578587
['Instant food products'] -> ['pastry']	0.0014234875444839859	0.17721518987341775	1.9918987341772154
['Instant food products'] -> ['pip fruit']	0.0010167768174885613	0.12658227848101267	1.6733020280386552
['Instant food products'] -> ['pork']	0.0010167768174885613	0.12658227848101267	2.1956555711829977
['Instant food products'] -> ['rolls/buns']	0.002338586680223691	0.2911392405063291	1.5828382699722203
['Instant food products'] -> ['root vegetables']	0.0019318759532282665	0.24050632911392408	2.206510957868884
['Instant food products'] -> ['shopping bags']	0.0011184544992374173	0.13924050632911392	1.4132408459719663
['Instant food products'] -> ['soda']	0.0019318759532282665	0.24050632911392408	1.3792301730818912
['Instant food products'] -> ['tropical fruit']	0.001525165226232842	0.189873417721519	1.8095010303208714
['Instant food products'] -> ['whole milk']	0.003050330452465684	0.379746835443038	1.4861958323049258
['Instant food products'] -> ['yogurt']	0.0014234875444839859	0.17721518987341775	1.2703435804701628
['UHT-milk'] -> ['beef']	0.0014234875444839859	0.0425531914893617	0.8110671284842487
['UHT-milk'] -> ['berries']	0.0017285205897305542	0.05167173252279635	1.5541024139501594
['UHT-milk'] -> ['bottled beer']	0.002440264361972547	0.0729483282674772	0.9058671824629271
['UHT-milk'] -> ['bottled water']	0.007320793085917641	0.21884498480243159	1.9800739885298202
['UHT-milk'] -> ['brown bread']	0.004067107269954245	0.121580547112462	1.8742079637164006
['UHT-milk'] -> ['butter']	0.002338586680223691	0.06990881458966565	1.2615654889713057
['UHT-milk'] -> ['butter milk']	0.0018301982714794102	0.054711246200607896	1.9566731141199225
['UHT-milk'] -> ['cake bar']	0.0010167768174885613	0.0303951367781155	2.299509001636661
['UHT-milk'] -> ['candy']	0.0012201321809862736	0.0364741641337386	1.2201476335214936
['UHT-milk'] -> ['canned beer']	0.0019318759532282665	0.057750759878419454	0.7434276484348892
['UHT-milk'] -> ['cat food']	0.001525165226232842	0.04559270516717325	1.958097184799777
['UHT-milk'] -> ['chicken']	0.0022369089984748346	0.0668693009118541	1.5584350105878793
['UHT-milk'] -> ['chocolate']	0.001626842907981698	0.048632218844984795	0.9801185908615276
['UHT-milk'] -> ['citrus fruit']	0.004575495678698526	0.13677811550151975	1.652595535574259
['UHT-milk'] -> ['coffee']	0.004270462633451958	0.1276595744680851	2.1988299735439876
['UHT-milk'] -> ['cream cheese ']	0.0028469750889679717	0.0851063829787234	2.1462084015275504
['UHT-milk'] -> ['curd']	0.002338586680223691	0.06990881458966565	1.3121244112392398
['UHT-milk'] -> ['dessert']	0.003050330452465684	0.0911854103343465	2.4570096181871173
['UHT-milk'] -> ['domestic eggs']	0.004067107269954245	0.121580547112462	1.916257501363884
['UHT-milk'] -> ['frankfurter']	0.00315200813421454	0.09422492401215805	1.5977622890682317
['UHT-milk'] -> ['frozen vegetables']	0.0027452974072191155	0.08206686930091185	1.7064009716162116
['UHT-milk'] -> ['fruit/vegetable juice']	0.003965429588205389	0.11854103343465046	1.6397342669898556
['UHT-milk'] -> ['grapes']	0.0010167768174885613	0.0303951367781155	1.3588007736943906
['UHT-milk'] -> ['ham']	0.0011184544992374173	0.03343465045592705	1.2844913563829787
['UHT-milk'] -> ['hamburger meat']	0.0017285205897305542	0.05167173252279635	1.5541024139501594
['UHT-milk'] -> ['hard cheese']	0.0011184544992374173	0.03343465045592705	1.3644389511785997
['UHT-milk'] -> ['hygiene articles']	0.0017285205897305542	0.05167173252279635	1.5684922511163644
['UHT-milk'] -> ['long life bakery product']	0.0012201321809862736	0.0364741641337386	0.9747918593894541
['UHT-milk'] -> ['margarine']	0.003965429588205389	0.11854103343465046	2.0240469858156027
['UHT-milk'] -> ['meat']	0.0013218098627351296	0.03951367781155015	1.5299882727425027
['UHT-milk'] -> ['mustard']	0.0012201321809862736	0.0364741641337386	3.0400288496213483
['UHT-milk'] -> ['napkins']	0.002541942043721403	0.07598784194528875	1.451146457343524
['UHT-milk'] -> ['newspapers']	0.004270462633451958	0.1276595744680851	1.5994037132402763
['UHT-milk'] -> ['oil']	0.0013218098627351296	0.03951367781155015	1.4080326857847671
['UHT-milk'] -> ['onions']	0.001525165226232842	0.04559270516717325	1.4701778862922916
['UHT-milk'] -> ['other vegetables']	0.00813421453990849	0.243161094224924	1.2566943571740028
['UHT-milk'] -> ['pasta']	0.0010167768174885613	0.0303951367781155	2.019838987924094
['UHT-milk'] -> ['pastry']	0.0036603965429588205	0.10942249240121579	1.2299088145896655
['UHT-milk'] -> ['pickled vegetables']	0.0014234875444839859	0.0425531914893617	2.377901353965184
['UHT-milk'] -> ['pip fruit']	0.0037620742247076767	0.11246200607902736	1.486644932509723
['UHT-milk'] -> ['pork']	0.003253685815963396	0.09726443768996959	1.6871177154865096
